"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 13:56:30 GMT 2025","Mon Mar 10 13:56:37 GMT 2025","7336","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 9 of 10",""
"passed","Mon Mar 10 13:54:26 GMT 2025","Mon Mar 10 13:54:59 GMT 2025","32980","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Mon Mar 10 13:55:45 GMT 2025","Mon Mar 10 13:55:53 GMT 2025","8394","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 2 of 10",""
"passed","Mon Mar 10 13:56:19 GMT 2025","Mon Mar 10 13:56:24 GMT 2025","5872","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 7 of 10",""
"passed","Mon Mar 10 13:55:29 GMT 2025","Mon Mar 10 13:55:34 GMT 2025","5012","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Mon Mar 10 13:56:13 GMT 2025","Mon Mar 10 13:56:19 GMT 2025","5896","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 6 of 10",""
"broken","Mon Mar 10 13:55:53 GMT 2025","Mon Mar 10 13:56:00 GMT 2025","6684","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 3 of 10",""
"passed","Mon Mar 10 13:54:59 GMT 2025","Mon Mar 10 13:55:07 GMT 2025","7708","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Mon Mar 10 13:56:07 GMT 2025","Mon Mar 10 13:56:13 GMT 2025","5836","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 5 of 10",""
"broken","Mon Mar 10 13:56:37 GMT 2025","Mon Mar 10 13:56:43 GMT 2025","5763","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 10 of 10",""
"passed","Mon Mar 10 13:55:07 GMT 2025","Mon Mar 10 13:55:14 GMT 2025","7730","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Mon Mar 10 13:55:34 GMT 2025","Mon Mar 10 13:55:45 GMT 2025","10378","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 1 of 10",""
"passed","Mon Mar 10 13:54:21 GMT 2025","Mon Mar 10 13:54:22 GMT 2025","927","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"broken","Mon Mar 10 13:56:00 GMT 2025","Mon Mar 10 13:56:07 GMT 2025","6899","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 4 of 10",""
"passed","Mon Mar 10 13:55:14 GMT 2025","Mon Mar 10 13:55:23 GMT 2025","8736","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Mon Mar 10 13:56:24 GMT 2025","Mon Mar 10 13:56:30 GMT 2025","5403","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 8 of 10",""
"passed","Mon Mar 10 13:55:23 GMT 2025","Mon Mar 10 13:55:29 GMT 2025","6170","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
